year,award,nominee,ethnicity,movie,imgurl
1928,Actor in a Leading Role,Richard Barthelmess,caucasianAmerican,The Noose and The Patent Leather Kid,"<iframe src=""https://giphy.com/embed/8QYf6Bjdc1GBa"" width=""480"" height=""360"" frameBorder=""0"" class=""giphy-embed"" allowFullScreen></iframe><p><a href=""https://giphy.com/gifs/world-wonder-nancy-reagan-8QYf6Bjdc1GBa"">via GIPHY</a></p>"
1929,Actor in a Leading Role,Warner Baxter,caucasianAmerican,In Old Arizona,
1929,Actor in a Leading Role,George Bancroft,caucasianAmerican,Thunderbolt,
1929,Actor in a Leading Role,Chester Morris,caucasianAmerican,Alibi,
1929,Actor in a Leading Role,Paul Muni,caucasianAmerican,The Valiant,
1929,Actor in a Leading Role,Lewis Stone,caucasianAmerican,The Patriot,
1930,Actor in a Leading Role,Wallace Beery,caucasianAmerican,The Big House,
1930,Actor in a Leading Role,Lawrence Tibbett,caucasianAmerican,The Rogue Song,
1931,Actor in a Leading Role,Lionel Barrymore,caucasianAmerican,A Free Soul,
1931,Actor in a Leading Role,Jackie Cooper,caucasianAmerican,Skippy,
1931,Actor in a Leading Role,Richard Dix,caucasianAmerican,Cimarron,
1931,Actor in a Leading Role,Fredric March,caucasianAmerican,The Royal Family of Broadway,
1931,Actor in a Leading Role,Adolphe Menjou,caucasianAmerican,The Front Page,
1932,Actor in a Leading Role,Wallace Beery,caucasianAmerican,The Champ,
1932,Actor in a Leading Role,Fredric March,caucasianAmerican,Dr. Jekyll and Mr. Hyde,
1932,Actor in a Leading Role,Alfred Lunt,caucasianAmerican,The Guardsman,
1933,Actor in a Leading Role,Charles Laughton,caucasianAmerican,The Private Life of Henry VIII,
1933,Actor in a Leading Role,Paul Muni,caucasianAmerican,I Am a Fugitive from a Chain Gang,
1934,Actor in a Leading Role,Clark Gable,caucasianAmerican,It Happened One Night,
1934,Actor in a Leading Role,Frank Morgan,caucasianAmerican,The Affairs of Cellini,
1934,Actor in a Leading Role,William Powell,caucasianAmerican,The Thin Man,
1935,Actor in a Leading Role,Clark Gable,caucasianAmerican,Mutiny on the Bounty,
1935,Actor in a Leading Role,Franchot Tone,caucasianAmerican,Mutiny on the Bounty,
1936,Actor in a Leading Role,Paul Muni,caucasianAmerican,The Story of Louis Pasteur,
1936,Actor in a Leading Role,Gary Cooper,caucasianAmerican,Mr. Deeds Goes to Town,
1936,Actor in a Leading Role,William Powell,caucasianAmerican,My Man Godfrey,
1936,Actor in a Leading Role,Spencer Tracy,caucasianAmerican,San Francisco,
1937,Actor in a Leading Role,Spencer Tracy,caucasianAmerican,Captains Courageous,
1937,Actor in a Leading Role,Fredric March,caucasianAmerican,A Star Is Born,
1937,Actor in a Leading Role,Robert Montgomery,caucasianAmerican,Night Must Fall,
1937,Actor in a Leading Role,Paul Muni,caucasianAmerican,The Life of Emile Zola,
1938,Actor in a Leading Role,Spencer Tracy,caucasianAmerican,Boys Town,
1938,Actor in a Leading Role,James Cagney,caucasianAmerican,Angels with Dirty Faces,
1939,Actor in a Leading Role,Clark Gable,caucasianAmerican,Gone with the Wind,
1939,Actor in a Leading Role,Mickey Rooney,caucasianAmerican,Babes in Arms,
1939,Actor in a Leading Role,James Stewart,caucasianAmerican,Mr. Smith Goes to Washington,
1940,Actor in a Leading Role,James Stewart,caucasianAmerican,The Philadelphia Story,
1940,Actor in a Leading Role,Henry Fonda,caucasianAmerican,The Grapes of Wrath,
1941,Actor in a Leading Role,Gary Cooper,caucasianAmerican,Sergeant York,
1941,Actor in a Leading Role,Robert Montgomery,caucasianAmerican,Here Comes Mr. Jordan,
1941,Actor in a Leading Role,Orson Welles,caucasianAmerican,Citizen Kane,
1942,Actor in a Leading Role,James Cagney,caucasianAmerican,Yankee Doodle Dandy,
1942,Actor in a Leading Role,Gary Cooper,caucasianAmerican,The Pride of the Yankees,
1942,Actor in a Leading Role,Monty Woolley,caucasianAmerican,The Pied Piper,
1943,Actor in a Leading Role,Humphrey Bogart,caucasianAmerican,Casablanca,
1943,Actor in a Leading Role,Gary Cooper,caucasianAmerican,For Whom the Bell Tolls,
1943,Actor in a Leading Role,Mickey Rooney,caucasianAmerican,The Human Comedy,
1944,Actor in a Leading Role,Bing Crosby,caucasianAmerican,Going My Way,
1945,Actor in a Leading Role,Bing Crosby,caucasianAmerican,The Bells of St. Mary's,
1945,Actor in a Leading Role,Gene Kelly,caucasianAmerican,Anchors Aweigh,
1945,Actor in a Leading Role,Gregory Peck,caucasianAmerican,The Keys of the Kingdom,
1946,Actor in a Leading Role,Fredric March,caucasianAmerican,The Best Years of Our Lives,
1946,Actor in a Leading Role,Larry Parks,caucasianAmerican,The Jolson Story,
1946,Actor in a Leading Role,Gregory Peck,caucasianAmerican,The Yearling,
1946,Actor in a Leading Role,James Stewart,caucasianAmerican,It's a Wonderful Life,
1947,Actor in a Leading Role,John Garfield,caucasianAmerican,Body and Soul,
1947,Actor in a Leading Role,Gregory Peck,caucasianAmerican,Gentleman's Agreement,
1947,Actor in a Leading Role,William Powell,caucasianAmerican,Life with Father,
1948,Actor in a Leading Role,Lew Ayres,caucasianAmerican,Johnny Belinda,
1948,Actor in a Leading Role,Montgomery Clift,caucasianAmerican,The Search,
1948,Actor in a Leading Role,Dan Dailey,caucasianAmerican,When My Baby Smiles at Me,
1948,Actor in a Leading Role,Clifton Webb,caucasianAmerican,Sitting Pretty,
1949,Actor in a Leading Role,Broderick Crawford,caucasianAmerican,All the King's Men,
1949,Actor in a Leading Role,Kirk Douglas,caucasianAmerican,Champion,
1949,Actor in a Leading Role,Gregory Peck,caucasianAmerican,Twelve O'Clock High,
1949,Actor in a Leading Role,John Wayne,caucasianAmerican,Sands of Iwo Jima,
1950,Actor in a Leading Role,Louis Calhern,caucasianAmerican,The Magnificent Yankee,
1950,Actor in a Leading Role,William Holden,caucasianAmerican,Sunset Boulevard,
1950,Actor in a Leading Role,James Stewart,caucasianAmerican,Harvey,
1950,Actor in a Leading Role,Spencer Tracy,caucasianAmerican,Father of the Bride,
1951,Actor in a Leading Role,Humphrey Bogart,caucasianAmerican,The African Queen,
1951,Actor in a Leading Role,Marlon Brando,caucasianAmerican,A Streetcar Named Desire,
1951,Actor in a Leading Role,Montgomery Clift,caucasianAmerican,A Place in the Sun,
1951,Actor in a Leading Role,Arthur Kennedy,caucasianAmerican,Bright Victory,
1951,Actor in a Leading Role,Fredric March,caucasianAmerican,Death of a Salesman,
1952,Actor in a Leading Role,Gary Cooper,caucasianAmerican,High Noon,
1952,Actor in a Leading Role,Marlon Brando,caucasianAmerican,Viva Zapata!,
1952,Actor in a Leading Role,Kirk Douglas,caucasianAmerican,The Bad and the Beautiful,
1953,Actor in a Leading Role,William Holden,caucasianAmerican,Stalag 17,
1953,Actor in a Leading Role,Marlon Brando,caucasianAmerican,Julius Caesar,
1953,Actor in a Leading Role,Montgomery Clift,caucasianAmerican,From Here to Eternity,
1953,Actor in a Leading Role,Burt Lancaster,caucasianAmerican,From Here to Eternity,
1954,Actor in a Leading Role,Marlon Brando,caucasianAmerican,On the Waterfront,
1954,Actor in a Leading Role,Humphrey Bogart,caucasianAmerican,The Caine Mutiny,
1954,Actor in a Leading Role,Bing Crosby,caucasianAmerican,The Country Girl,
1955,Actor in a Leading Role,Ernest Borgnine,caucasianAmerican,Marty,
1955,Actor in a Leading Role,James Cagney,caucasianAmerican,Love Me or Leave Me,
1955,Actor in a Leading Role,James Dean,caucasianAmerican,East of Eden,
1955,Actor in a Leading Role,Frank Sinatra,caucasianAmerican,The Man with the Golden Arm,
1955,Actor in a Leading Role,Spencer Tracy,caucasianAmerican,Bad Day at Black Rock,
1956,Actor in a Leading Role,James Dean,caucasianAmerican,Giant,
1956,Actor in a Leading Role,Kirk Douglas,caucasianAmerican,Lust for Life,
1956,Actor in a Leading Role,Rock Hudson,caucasianAmerican,Giant,
1957,Actor in a Leading Role,Marlon Brando,caucasianAmerican,Sayonara,
1957,Actor in a Leading Role,Anthony Franciosa,caucasianAmerican,A Hatful of Rain,
1958,Actor in a Leading Role,Tony Curtis,caucasianAmerican,The Defiant Ones,
1958,Actor in a Leading Role,Paul Newman,caucasianAmerican,Cat on a Hot Tin Roof,
1958,Actor in a Leading Role,Spencer Tracy,caucasianAmerican,The Old Man and the Sea,
1959,Actor in a Leading Role,Charlton Heston,caucasianAmerican,Ben-Hur,
1959,Actor in a Leading Role,Jack Lemmon,caucasianAmerican,Some Like It Hot,
1959,Actor in a Leading Role,Paul Muni,caucasianAmerican,The Last Angry Man,
1959,Actor in a Leading Role,James Stewart,caucasianAmerican,Anatomy of a Murder,
1960,Actor in a Leading Role,Burt Lancaster,caucasianAmerican,Elmer Gantry,
1960,Actor in a Leading Role,Jack Lemmon,caucasianAmerican,The Apartment,
1960,Actor in a Leading Role,Spencer Tracy,caucasianAmerican,Inherit the Wind,
1961,Actor in a Leading Role,Paul Newman,caucasianAmerican,The Hustler,
1961,Actor in a Leading Role,Spencer Tracy,caucasianAmerican,Judgment at Nuremberg,
1961,Actor in a Leading Role,Stuart Whitman,caucasianAmerican,The Mark,
1962,Actor in a Leading Role,Gregory Peck,caucasianAmerican,To Kill a Mockingbird,
1962,Actor in a Leading Role,Burt Lancaster,caucasianAmerican,Birdman of Alcatraz,
1962,Actor in a Leading Role,Jack Lemmon,caucasianAmerican,Days of Wine and Roses,
1963,Actor in a Leading Role,Paul Newman,caucasianAmerican,Hud,
1965,Actor in a Leading Role,Lee Marvin,caucasianAmerican,Cat Ballou,
1965,Actor in a Leading Role,Rod Steiger,caucasianAmerican,The Pawnbroker,
1966,Actor in a Leading Role,Alan Arkin,caucasianAmerican,"The Russians Are Coming, the Russians Are Coming",
1966,Actor in a Leading Role,Steve McQueen,caucasianAmerican,The Sand Pebbles,
1967,Actor in a Leading Role,Rod Steiger,caucasianAmerican,In the Heat of the Night,
1967,Actor in a Leading Role,Warren Beatty,caucasianAmerican,Bonnie and Clyde,
1967,Actor in a Leading Role,Dustin Hoffman,caucasianAmerican,The Graduate,
1967,Actor in a Leading Role,Paul Newman,caucasianAmerican,Cool Hand Luke,
1967,Actor in a Leading Role,Spencer Tracy,caucasianAmerican,Guess Who's Coming to Dinner,
1968,Actor in a Leading Role,Cliff Robertson,caucasianAmerican,Charly,
1968,Actor in a Leading Role,Alan Arkin,caucasianAmerican,The Heart Is a Lonely Hunter,
1969,Actor in a Leading Role,John Wayne,caucasianAmerican,True Grit,
1969,Actor in a Leading Role,Dustin Hoffman,caucasianAmerican,Midnight Cowboy,
1969,Actor in a Leading Role,Jon Voight,caucasianAmerican,Midnight Cowboy,
1970,Actor in a Leading Role,George C. Scott,caucasianAmerican,Patton,
1970,Actor in a Leading Role,Melvyn Douglas,caucasianAmerican,I Never Sang for My Father,
1970,Actor in a Leading Role,Jack Nicholson,caucasianAmerican,Five Easy Pieces,
1970,Actor in a Leading Role,Ryan O'Neal,caucasianAmerican,Love Story,
1971,Actor in a Leading Role,Gene Hackman,caucasianAmerican,The French Connection,
1971,Actor in a Leading Role,Walter Matthau,caucasianAmerican,Kotch,
1971,Actor in a Leading Role,George C. Scott,caucasianAmerican,The Hospital,
1972,Actor in a Leading Role,Marlon Brando,caucasianAmerican,The Godfather,
1973,Actor in a Leading Role,Jack Lemmon,caucasianAmerican,Save the Tiger,
1973,Actor in a Leading Role,Marlon Brando,caucasianAmerican,Last Tango in Paris,
1973,Actor in a Leading Role,Jack Nicholson,caucasianAmerican,The Last Detail,
1973,Actor in a Leading Role,Al Pacino,caucasianAmerican,Serpico,
1973,Actor in a Leading Role,Robert Redford,caucasianAmerican,The Sting,
1974,Actor in a Leading Role,Art Carney,caucasianAmerican,Harry and Tonto,
1974,Actor in a Leading Role,Dustin Hoffman,caucasianAmerican,Lenny,
1974,Actor in a Leading Role,Jack Nicholson,caucasianAmerican,Chinatown,
1974,Actor in a Leading Role,Al Pacino,caucasianAmerican,The Godfather Part II,
1975,Actor in a Leading Role,Jack Nicholson,caucasianAmerican,One Flew Over the Cuckoo's Nest,
1975,Actor in a Leading Role,Walter Matthau,caucasianAmerican,The Sunshine Boys,
1975,Actor in a Leading Role,Al Pacino,caucasianAmerican,Dog Day Afternoon,
1975,Actor in a Leading Role,James Whitmore,caucasianAmerican,"Give 'em Hell, Harry!",
1976,Actor in a Leading Role,William Holden,caucasianAmerican,Network,
1976,Actor in a Leading Role,Sylvester Stallone,caucasianAmerican,Rocky,
1977,Actor in a Leading Role,Richard Dreyfuss,caucasianAmerican,The Goodbye Girl,
1977,Actor in a Leading Role,Woody Allen,caucasianAmerican,Annie Hall,
1977,Actor in a Leading Role,John Travolta,caucasianAmerican,Saturday Night Fever,
1978,Actor in a Leading Role,Jon Voight,caucasianAmerican,Coming Home,
1978,Actor in a Leading Role,Warren Beatty,caucasianAmerican,Heaven Can Wait,
1978,Actor in a Leading Role,Gary Busey,caucasianAmerican,The Buddy Holly Story,
1979,Actor in a Leading Role,Dustin Hoffman,caucasianAmerican,Kramer vs. Kramer,
1979,Actor in a Leading Role,Jack Lemmon,caucasianAmerican,The China Syndrome,
1979,Actor in a Leading Role,Al Pacino,caucasianAmerican,...And Justice for All,
1979,Actor in a Leading Role,Roy Scheider,caucasianAmerican,All That Jazz,
1980,Actor in a Leading Role,Robert Duvall,caucasianAmerican,The Great Santini,
1980,Actor in a Leading Role,Jack Lemmon,caucasianAmerican,Tribute,
1981,Actor in a Leading Role,Henry Fonda,caucasianAmerican,On Golden Pond,
1981,Actor in a Leading Role,Warren Beatty,caucasianAmerican,Reds,
1981,Actor in a Leading Role,Burt Lancaster,caucasianAmerican,Atlantic City,
1981,Actor in a Leading Role,Paul Newman,caucasianAmerican,Absence of Malice,
1982,Actor in a Leading Role,Dustin Hoffman,caucasianAmerican,Tootsie,
1982,Actor in a Leading Role,Jack Lemmon,caucasianAmerican,Missing,
1982,Actor in a Leading Role,Paul Newman,caucasianAmerican,The Verdict,
1983,Actor in a Leading Role,Robert Duvall,caucasianAmerican,Tender Mercies,
1984,Actor in a Leading Role,F. Murray Abraham,caucasianAmerican,Amadeus,
1984,Actor in a Leading Role,Jeff Bridges,caucasianAmerican,Starman,
1984,Actor in a Leading Role,Tom Hulce,caucasianAmerican,Amadeus,
1984,Actor in a Leading Role,Sam Waterston,caucasianAmerican,The Killing Fields,
1985,Actor in a Leading Role,William Hurt,caucasianAmerican,Kiss of the Spider Woman,
1985,Actor in a Leading Role,Harrison Ford,caucasianAmerican,Witness,
1985,Actor in a Leading Role,James Garner,caucasianAmerican,Murphy's Romance,
1985,Actor in a Leading Role,Jack Nicholson,caucasianAmerican,Prizzi's Honor,
1985,Actor in a Leading Role,Jon Voight,caucasianAmerican,Runaway Train,
1986,Actor in a Leading Role,Paul Newman,caucasianAmerican,The Color of Money,
1986,Actor in a Leading Role,William Hurt,caucasianAmerican,Children of a Lesser God,
1986,Actor in a Leading Role,James Woods,caucasianAmerican,Salvador,
1987,Actor in a Leading Role,Michael Douglas,caucasianAmerican,Wall Street,
1987,Actor in a Leading Role,William Hurt,caucasianAmerican,Broadcast News,
1987,Actor in a Leading Role,Jack Nicholson,caucasianAmerican,Ironweed,
1987,Actor in a Leading Role,Robin Williams,caucasianAmerican,"Good Morning, Vietnam",
1988,Actor in a Leading Role,Dustin Hoffman,caucasianAmerican,Rain Man,
1988,Actor in a Leading Role,Gene Hackman,caucasianAmerican,Mississippi Burning,
1988,Actor in a Leading Role,Tom Hanks,caucasianAmerican,Big,
1989,Actor in a Leading Role,Tom Cruise,caucasianAmerican,Born on the Fourth of July,
1989,Actor in a Leading Role,Robin Williams,caucasianAmerican,Dead Poets Society,
1990,Actor in a Leading Role,Kevin Costner,caucasianAmerican,Dances with Wolves,
1991,Actor in a Leading Role,Warren Beatty,caucasianAmerican,Bugsy,
1991,Actor in a Leading Role,Nick Nolte,caucasianAmerican,The Prince of Tides,
1991,Actor in a Leading Role,Robin Williams,caucasianAmerican,The Fisher King,
1992,Actor in a Leading Role,Al Pacino,caucasianAmerican,Scent of a Woman,
1992,Actor in a Leading Role,Robert Downey Jr.,caucasianAmerican,Chaplin,
1992,Actor in a Leading Role,Clint Eastwood,caucasianAmerican,Unforgiven,
1993,Actor in a Leading Role,Tom Hanks,caucasianAmerican,Philadelphia,
1994,Actor in a Leading Role,Tom Hanks,caucasianAmerican,Forrest Gump,
1994,Actor in a Leading Role,Paul Newman,caucasianAmerican,Nobody's Fool,
1994,Actor in a Leading Role,John Travolta,caucasianAmerican,Pulp Fiction,
1995,Actor in a Leading Role,Nicolas Cage,caucasianAmerican,Leaving Las Vegas,
1995,Actor in a Leading Role,Richard Dreyfuss,caucasianAmerican,Mr. Holland's Opus,
1995,Actor in a Leading Role,Sean Penn,caucasianAmerican,Dead Man Walking,
1996,Actor in a Leading Role,Tom Cruise,caucasianAmerican,Jerry Maguire,
1996,Actor in a Leading Role,Woody Harrelson,caucasianAmerican,The People vs. Larry Flynt,
1996,Actor in a Leading Role,Billy Bob Thornton,caucasianAmerican,Sling Blade,
1997,Actor in a Leading Role,Jack Nicholson,caucasianAmerican,As Good as It Gets,
1997,Actor in a Leading Role,Matt Damon,caucasianAmerican,Good Will Hunting,
1997,Actor in a Leading Role,Robert Duvall,caucasianAmerican,The Apostle,
1997,Actor in a Leading Role,Peter Fonda,caucasianAmerican,Ulee's Gold,
1997,Actor in a Leading Role,Dustin Hoffman,caucasianAmerican,Wag the Dog,
1998,Actor in a Leading Role,Tom Hanks,caucasianAmerican,Saving Private Ryan,
1998,Actor in a Leading Role,Nick Nolte,caucasianAmerican,Affliction,
1998,Actor in a Leading Role,Edward Norton,caucasianAmerican,American History X,
1999,Actor in a Leading Role,Kevin Spacey,caucasianAmerican,American Beauty,
1999,Actor in a Leading Role,Richard Farnsworth,caucasianAmerican,The Straight Story,
1999,Actor in a Leading Role,Sean Penn,caucasianAmerican,Sweet and Lowdown,
2000,Actor in a Leading Role,Tom Hanks,caucasianAmerican,Cast Away,
2000,Actor in a Leading Role,Ed Harris,caucasianAmerican,Pollock,
2001,Actor in a Leading Role,Sean Penn,caucasianAmerican,I Am Sam,
2002,Actor in a Leading Role,Adrien Brody,caucasianAmerican,The Pianist,
2002,Actor in a Leading Role,Nicolas Cage,caucasianAmerican,Adaptation,
2002,Actor in a Leading Role,Jack Nicholson,caucasianAmerican,About Schmidt,
2003,Actor in a Leading Role,Sean Penn,caucasianAmerican,Mystic River,
2003,Actor in a Leading Role,Johnny Depp,caucasianAmerican,Pirates of the Caribbean: The Curse of the Black Pearl,
2003,Actor in a Leading Role,Bill Murray,caucasianAmerican,Lost in Translation,
2004,Actor in a Leading Role,Johnny Depp,caucasianAmerican,Finding Neverland,
2004,Actor in a Leading Role,Leonardo DiCaprio,caucasianAmerican,The Aviator,
2004,Actor in a Leading Role,Clint Eastwood,caucasianAmerican,Million Dollar Baby,
2005,Actor in a Leading Role,Philip Seymour Hoffman,caucasianAmerican,Capote,
2005,Actor in a Leading Role,David Strathairn,caucasianAmerican,"Good Night, and Good Luck",
2006,Actor in a Leading Role,Leonardo DiCaprio,caucasianAmerican,Blood Diamond,
2006,Actor in a Leading Role,Ryan Gosling,caucasianAmerican,Half Nelson,
2007,Actor in a Leading Role,George Clooney,caucasianAmerican,Michael Clayton,
2007,Actor in a Leading Role,Johnny Depp,caucasianAmerican,Sweeney Todd,
2007,Actor in a Leading Role,Tommy Lee Jones,caucasianAmerican,In the Valley of Elah,
2007,Actor in a Leading Role,Viggo Mortensen,caucasianAmerican,Eastern Promises,
2008,Actor in a Leading Role,Sean Penn,caucasianAmerican,Milk,
2008,Actor in a Leading Role,Richard Jenkins,caucasianAmerican,The Visitor,
2008,Actor in a Leading Role,Frank Langella,caucasianAmerican,Frost/Nixon,
2008,Actor in a Leading Role,Brad Pitt,caucasianAmerican,The Curious Case of Benjamin Button,
2008,Actor in a Leading Role,Mickey Rourke,caucasianAmerican,The Wrestler,
2009,Actor in a Leading Role,Jeff Bridges,caucasianAmerican,Crazy Heart,
2009,Actor in a Leading Role,George Clooney,caucasianAmerican,Up in the Air,
2009,Actor in a Leading Role,Jeremy Renner,caucasianAmerican,The Hurt Locker,
2010,Actor in a Leading Role,Jeff Bridges,caucasianAmerican,True Grit,
2010,Actor in a Leading Role,Jesse Eisenberg,caucasianAmerican,The Social Network,
2010,Actor in a Leading Role,James Franco,caucasianAmerican,127 Hours,
2011,Actor in a Leading Role,George Clooney,caucasianAmerican,The Descendants,
2011,Actor in a Leading Role,Brad Pitt,caucasianAmerican,Moneyball,
2012,Actor in a Leading Role,Bradley Cooper,caucasianAmerican,Silver Linings Playbook,
2013,Actor in a Leading Role,Matthew McConaughey,caucasianAmerican,Dallas Buyers Club,
2013,Actor in a Leading Role,Bruce Dern,caucasianAmerican,Nebraska,
2013,Actor in a Leading Role,Leonardo DiCaprio,caucasianAmerican,The Wolf of Wall Street,
2014,Actor in a Leading Role,Steve Carell,caucasianAmerican,Foxcatcher,
2014,Actor in a Leading Role,Bradley Cooper,caucasianAmerican,American Sniper,
2014,Actor in a Leading Role,Michael Keaton,caucasianAmerican,Birdman,
2015,Actor in a Leading Role,Leonardo DiCaprio,caucasianAmerican,The Revenant,
2015,Actor in a Leading Role,Bryan Cranston,caucasianAmerican,Trumbo,
2015,Actor in a Leading Role,Matt Damon,caucasianAmerican,The Martian,
2016,Actor in a Leading Role,Casey Affleck,caucasianAmerican,Manchester by the Sea,
2016,Actor in a Leading Role,Ryan Gosling,caucasianAmerican,La La Land,
2016,Actor in a Leading Role,Viggo Mortensen,caucasianAmerican,Captain Fantastic,
2018,Actor in a Leading Role,Bradley Cooper,caucasianAmerican,A Star Is Born,
2018,Actor in a Leading Role,Willem Dafoe,caucasianAmerican,At Eternity's Gate,
2018,Actor in a Leading Role,Viggo Mortensen,caucasianAmerican,Green Book,
1928,Actress in a Leading Role,Janet Gaynor,caucasianAmerican,7th Heaven Street Angel Sunrise: A Song of Two Humans,
1928,Actress in a Leading Role,Louise Dresser,caucasianAmerican,A Ship Comes In,
1929,Actress in a Leading Role,Mary Pickford,caucasianAmerican,Coquette,
1929,Actress in a Leading Role,Ruth Chatterton,caucasianAmerican,Madame X,
1929,Actress in a Leading Role,Betty Compson,caucasianAmerican,The Barker,
1929,Actress in a Leading Role,Jeanne Eagels,caucasianAmerican,The Letter,
1929,Actress in a Leading Role,Corinne Griffith,caucasianAmerican,The Divine Lady,
1929,Actress in a Leading Role,Bessie Love,caucasianAmerican,The Broadway Melody,
1930,Actress in a Leading Role,Nancy Carroll,caucasianAmerican,The Devil's Holiday,
1930,Actress in a Leading Role,Ruth Chatterton,caucasianAmerican,Sarah and Son,
1930,Actress in a Leading Role,Gloria Swanson,caucasianAmerican,The Trespasser,
1931,Actress in a Leading Role,Irene Dunne,caucasianAmerican,Cimarron,
